C2	42.16	9.91	90.00	.1 uF	0603-CAP
C20	163.83	54.36	180.00	0.1uF	0603-CAP
C21	169.16	65.79	270.00	1uF	0603-CAP
C22	99.06	62.87	0.00	0.1uF	0805
C23	106.81	58.29	90.00	0.01uF	0805
C24	98.30	56.39	0.00	0.1uF	0805
C25	99.06	64.52	0.00	1uF	0805
C26	57.91	73.91	270.00	0.1uF	0603-CAP
C27	56.39	73.91	270.00	1uF	0603-CAP
C28	50.80	87.25	90.00	0.1uF	0805
C29	55.88	93.47	180.00	0.01uF	0805
C3	8.64	12.19	180.00	10uF	0603-CAP
C30	58.93	86.87	90.00	0.1uF	0805
C31	52.58	87.25	270.00	1uF	0805
C32	21.84	32.51	180.00	10nF	0603-CAP
C33	17.27	28.45	180.00	0.1uF	0603-CAP
C34	17.27	26.92	180.00	1uF	0603-CAP
C35	167.64	11.68	270.00	1uF	0603-CAP
C36	165.61	11.68	270.00	.1uF	0603-CAP
C37	97.79	48.77	0.00	0.1uF	0805
C38	106.81	43.18	90.00	0.01uF	0805
C39	97.03	41.40	0.00	0.1uF	0805
C4	13.21	12.19	0.00	10uF	0603-CAP
C40	97.79	46.99	0.00	1uF	0805
C41	75.95	74.42	270.00	0.1uF	0603-CAP
C42	73.91	74.42	270.00	1uF	0603-CAP
C43	67.06	87.12	90.00	0.1uF	0805
C44	71.37	94.23	180.00	0.01uF	0805
C45	74.93	86.36	90.00	0.1uF	0805
C46	68.83	87.12	270.00	1uF	0805
C47	30.48	32.26	180.00	10nF	0603-CAP
C48	26.42	26.67	180.00	0.1uF	0603-CAP
C49	26.42	28.19	180.00	1uF	0603-CAP
C5	30.48	46.74	180.00	0.1uF	0603-CAP
C50	141.48	32.51	180.00	10nF	0603-CAP
C51	136.65	27.69	270.00	0.1uF	0603-CAP
C52	100.33	34.42	0.00	0.1uF	0805
C53	107.19	27.94	90.00	0.01uF	0805
C54	98.04	27.18	0.00	0.1uF	0805
C55	100.33	32.77	0.00	1uF	0805
C56	90.68	74.42	270.00	0.1uF	0603-CAP
C57	92.71	74.42	270.00	1uF	0603-CAP
C58	85.85	87.12	90.00	0.1uF	0805
C59	88.65	93.22	180.00	0.01uF	0805
C6	42.93	70.61	180.00	0.01uF	0603-CAP
C60	91.69	85.34	90.00	0.1uF	0805
C61	84.07	87.12	270.00	1uF	0805
C62	39.37	32.26	180.00	10nF	0603-CAP
C63	35.05	26.54	180.00	0.1uF	0603-CAP
C64	35.05	28.07	180.00	1uF	0603-CAP
C65	138.18	27.69	270.00	1uF	0603-CAP
C66	171.70	9.91	90.00	.1 uF	0603-CAP
C67	100.08	20.83	0.00	0.1uF	0805
C68	106.93	14.99	90.00	0.01uF	0805
C69	97.54	13.46	0.00	0.1uF	0805
C7	45.21	62.23	90.00	0.1uF	0603-CAP
C70	100.08	19.05	0.00	1uF	0805
C71	108.97	72.90	270.00	0.1uF	0603-CAP
C72	106.93	72.90	270.00	1uF	0603-CAP
C73	101.85	86.11	90.00	0.1uF	0805
C74	105.16	92.71	180.00	0.01uF	0805
C75	107.95	86.11	90.00	0.1uF	0805
C76	100.20	86.11	270.00	1uF	0805
C77	228.60	62.87	0.00	0.1uF	0805
C78	236.35	58.29	90.00	0.01uF	0805
C79	227.84	56.39	0.00	0.1uF	0805
C8	30.48	48.26	0.00	1uF	0603-CAP
C80	228.60	64.52	0.00	1uF	0805
C81	187.45	73.91	270.00	0.1uF	0603-CAP
C82	185.93	73.91	270.00	1uF	0603-CAP
C83	180.34	87.25	90.00	0.1uF	0805
C84	185.42	93.47	180.00	0.01uF	0805
C85	138.18	12.19	180.00	10uF	0603-CAP
C86	188.47	86.87	90.00	0.1uF	0805
C87	182.12	87.25	270.00	1uF	0805
C88	151.38	32.51	180.00	10nF	0603-CAP
C89	146.81	28.45	180.00	0.1uF	0603-CAP
C9	37.59	65.79	90.00	0.1uF	0603-CAP
C90	146.81	26.92	180.00	1uF	0603-CAP
C91	227.33	48.77	0.00	0.1uF	0805
C92	236.35	43.18	90.00	0.01uF	0805
C93	226.57	41.40	0.00	0.1uF	0805
C94	142.75	12.19	0.00	10uF	0603-CAP
C95	227.33	46.99	0.00	1uF	0805
C96	205.49	74.42	270.00	0.1uF	0603-CAP
C97	203.45	74.42	270.00	1uF	0603-CAP
C98	196.60	87.12	90.00	0.1uF	0805
C99	200.91	94.23	180.00	0.01uF	0805
LT1790B	46.99	62.23	90.00	1.25V	0805_D
LT1790B1	34.54	56.13	180.00	1.25V	0805_D
LT1790B10	176.53	62.23	90.00	1.25V	0805_D
LT1790B11	164.08	56.13	180.00	1.25V	0805_D
LT1790B12	226.82	54.61	0.00	1.25V	0805_D
LT1790B13	190.25	85.85	90.00	1.25V	0805_D
LT1790B14	226.31	39.37	0.00	1.25V	0805_D
LT1790B15	206.50	86.36	90.00	1.25V	0805_D
LT1790B16	227.33	25.65	0.00	1.25V	0805_D
LT1790B17	223.27	85.85	90.00	1.25V	0805_D
LT1790B18	227.08	11.94	0.00	1.25V	0805_D
LT1790B19	239.01	85.60	90.00	1.25V	0805_D
LT1790B2	97.28	54.61	0.00	1.25V	0805_D
LT1790B20	305.82	62.23	90.00	1.25V	0805_D
LT1790B21	293.37	56.13	180.00	1.25V	0805_D
LT1790B22	356.11	54.61	0.00	1.25V	0805_D
LT1790B23	319.53	85.85	90.00	1.25V	0805_D
LT1790B24	355.60	39.37	0.00	1.25V	0805_D
LT1790B25	335.79	86.36	90.00	1.25V	0805_D
LT1790B26	356.62	25.65	0.00	1.25V	0805_D
LT1790B27	352.55	85.85	90.00	1.25V	0805_D
LT1790B28	356.36	11.94	0.00	1.25V	0805_D
LT1790B29	368.30	85.60	90.00	1.25V	0805_D
LT1790B3	60.71	85.85	90.00	1.25V	0805_D
LT1790B4	96.77	39.37	0.00	1.25V	0805_D
LT1790B5	76.96	86.36	90.00	1.25V	0805_D
LT1790B6	97.79	25.65	0.00	1.25V	0805_D
LT1790B7	93.73	85.85	90.00	1.25V	0805_D
LT1790B8	97.54	11.94	0.00	1.25V	0805_D
LT1790B9	109.47	85.60	90.00	1.25V	0805_D
R1	76.20	14.48	180.00	1k	0603-RES
R10	45.21	65.53	90.00	100	0603-RES
R100	168.91	52.83	180.00	10M	0603-RES
R101	167.13	54.86	180.00	9.76M	0603-RES
R102	167.13	50.04	90.00	10M	0603-RES
R103	157.99	51.31	270.00	100k	0603-RES
R104	160.27	54.86	180.00	100	0603-RES
R105	160.53	56.90	180.00	10k	0603-RES
R106	201.93	14.48	180.00	1k	0603-RES
R107	143.00	34.04	180.00	0	0603-RES
R108	139.70	34.04	0.00	0	0603-RES
R109	218.82	59.44	0.00	10M	0805
R11	47.24	65.79	90.00	10k	0603-RES
R110	223.01	57.15	0.00	10M	0805
R111	223.27	54.61	0.00	9.76M	0805
R112	222.25	60.45	270.00	10M	0805
R113	234.57	58.29	90.00	100k	0805
R114	231.90	57.02	0.00	100	0805
R115	231.90	55.25	0.00	10k	0805
R116	184.15	78.74	90.00	10M	0805
R117	204.47	5.59	270.00	150	0603-RES
R118	184.15	74.93	270.00		0603-RES
R119	186.18	77.22	90.00		0603-RES
R12	40.26	50.93	180.00	10M	0603-RES
R120	188.21	77.22	90.00		0603-RES
R121	186.44	80.77	90.00	10M	0805
R122	188.21	82.80	90.00	9.76M	0805
R123	183.64	82.04	0.00	10M	0805
R124	185.42	91.69	180.00	100k	0805
